question,answer
Q11. Can I split my Windows Server 2012 license across multiple servers?,Answer: No. Each license can only be assigned to a single physical server.
Q12. Can I assign a Windows Server 2012 license to a virtual machine?,Answer: No. A license is assigned to the physical server. Each license will cover up to two physical processors.
Q13. Can I mix Datacenter and Standard licenses on the same server?,"Answer: No. All of the processors on a given server must be licensed with the same version and edition. You can run different editions or older versions of Windows Server software as guests within VMs, but you are not allowed to assign multiple licenses of different versions or editions to the same physical server to license the processors on the server."
Q14. Can I attach another license of a different version or edition of Windows Server to increase my virtualization rights?,"Answer: Yes, you can assign additional Windows Server licenses to a server to increase your virtualization rights. However the newly assigned licenses will need to adhere to their associated licensing rules. For example, if you have a Windows Server Enterprise edition license on a four processor server and want to attach Windows Server 2012 Standard edition licenses to increase your virtualization rights, you will need to ensure that all processors on that server are licensed with Windows Server 2012 Standard edition license as well, which will require a total of two Windows Server 2012 Standard licenses (as each license covers up to two processors)."
"Q15. If I want to use the bits from an earlier version or edition, what are my options?","Answer: If you have Windows Server 2012 Datacenter edition you will have the right to downgrade your bits to any prior version or lower edition. If you have Windows Server 2012 Standard edition, you will have the right to downgrade your bits to any prior version of Enterprise, Standard or Essentials editions.
The ability to run downgrade bits does not change the licensing or support terms in which you can use the product; the purchased product (Windows Server 2012) rights apply. This means that the license will continue to cover two physical processors and the virtualization rights do not change. In addition, the Client Access License (CAL) corresponding to the purchased version will apply, as an exception, if you are running a previous version of one of the eligible downgrades you can use the corresponding CAL version if one exists.
Here are a few examples.

The information outlines the downgrade and licensing rights for different versions of software licenses. For a Datacenter 2012 license, the downgrade version available is Datacenter 2008, with bit rights applicable to Datacenter 2008, while the licensing rights remain with Datacenter 2012. A Standard 2012 license can be downgraded to Enterprise 2008 R2, with bit rights applicable to Enterprise 2008 R2, and licensing rights retained as Standard 2012. Another Standard 2012 license option allows downgrading to Standard 2008, with bit rights for Standard 2008, and licensing rights as Standard 2012. Lastly, a Standard 2012 license can be downgraded to Essentials 2012, with bit rights for Essentials 2012, and licensing rights as Standard 2012. The licensing rights for all Standard 2012 options include additional notes, indicated by superscript numbers.
1 The license will cover up to two processors. 2 The license entitles up to two virtual machines."
Q16. Is Enterprise edition going away as part of Windows Server 2012 and why?,"Answer: Yes. Enterprise edition will be retired as part of the Windows Server 2012 release. Windows Server 2012 Standard edition will include all the premium features previously included in Enterprise edition in the past and the price to purchase the rights to 4 instances of Windows Server 2012 will actually be less expensive than the price of Windows Server 2008 R2 Enterprise edition today. Due to these changes, we have been able to simplify the product lineup while reducing the price per instance of Windows Server for these customers."
Q17. Is Web Server going away as part of Windows Server 2012 and why?,"Answer: Yes. The Web Server product was designed primarily for end customers and service providers that wanted to host web sites. However, consistent feedback from these customers and partners has been that they prefer to use an edition of Windows Server that does not restrict usage to running web workloads.
Despite the removal of Web Server edition, web workloads running on a Windows Server 2012 edition will continue to receive the ""CAL waiver"" that is in effect for these workloads today. Windows Server
CALs will not be required to access the licensed server if it is only being used to run web workloads. See Product Use Rights for details."
Q18. Are the HPC products going away as part of Windows Server 2012 and why?,"Answer: While the HPC edition is being retired, Microsoft will be delivering the HPC Pack 2012 as a free download that can be used with any Windows Server 2012 Standard or Datacenter license. As a result, customers who want to run HPC workloads will be able to do SO on any of their Windows Server 2012 licensed servers (Click here for a free download.). HPC workloads running on Windows Server 2012 Standard or Datacenter editions will continue to receive the ""CAL waiver"" that is currently in effect for these workloads. Windows Server CALs will not be required to access instances of Windows Server in the Windows Server 2012 licensing model if these instances are simply running HPC workloads. See Product Use Rights for details."
"Q19. If I have Software Assurance in place at the time that Windows Server 2012 is generally available, when will my grant be reflected in my licensing records?","Answer: While you will immediately be able to use the new product and will own the perpetual rights to the edition of Windows Server 2012 that you are transitioning to, your grant will not be reflected in the license position database until you renew your agreement and purchase Software Assurance on the granted licenses. If you do not renew your Software Assurance, your license position will not be reflected in the license position database; however the fact that you had Software Assurance in place at the time of Windows Server 2012 General Availability will establish your proof of license for the new product."
"Q20. If I have Datacenter edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Datacenter edition, you will be entitled to Windows Server 2012 Datacenter edition. Today, a Datacenter license covers up to 1 processor. A Windows Server 2012 Datacenter license will cover up to 2 processors. So for every two current Datacenter licenses with Software Assurance, you will receive one Windows Server 2012 Datacenter edition license."
"Q21. If I have Enterprise edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Enterprise edition, you will be entitled to receive two Standard edition licenses for each Enterprise edition license you have.
If you are considering moving to a more highly virtualized or private cloud environment, you should consider taking advantage of the Software Assurance Step-Up* benefit to upgrade to Datacenter edition prior to the Windows Server 2012 general availability since the Step-Ups from Enterprise edition to Datacenter edition will be removed from the price lists at that time.
* If you have an Enterprise Agreement and already have an SA Step-Up from Enterprise edition to Datacenter edition on your Channel Price Sheet (CPS), you will be able to Step-Up from Enterprise edition to Datacenter edition until the end of your enrollment."
"Q22. If I have Standard edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Standard edition today, you will be entitled to receive Standard edition at the general availability of Windows Server 2012. You will receive one Windows Server 2012 Standard edition license for each Standard edition license you have."
Q23. If the normal Software Assurance transition grant will not cover all of the processors in my server do I need to purchasing additional licenses?,"Answer: No. If you have Software Assurance on Enterprise, Standard or Windows Server 2008 R2 HPC editions when Windows Server 2012 is released and the normal Software Assurance transition grant does not cover all of the processors on your physical server, you can qualify for additional licenses by documenting your environment to show where you have Windows Server 2008 R2 Standard edition or Windows Server 2008 R2 HPC editions running on 4-processor servers and/or Windows Server 2008 R2 Enterprise edition running on an 8-processor server. You will then be entitled to the additional licenses needed to cover these processors.
It is recommended that you complete your self-assessment using the Microsoft Assessment and Planning (MAP) Toolkit or another inventory tool that can accurately archive a time/date-stamped inventory of your hardware with Windows Server installations.
Upon contract expiration, you can renew Software Assurance on all licenses granted as a result of transitioning to the Windows Server 2012 licensing model."
"Q24. If I have Web Server edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Web Server edition, you will receive an additional Windows Server 2012 Standard edition license that you can use while also maintaining your rights to run your current Web Server license. For every two Windows 2008 R2 Web Server edition licenses, you will receive one Windows Server 2012 Standard edition license. If you have an odd number of Windows 2008 R2 Web Server edition licenses, your grant will be based on rounding up to the next whole even number.
You will continue to have the ability to host web content on your new Windows Server 2012 Standard edition license without needing a Windows Server CAL to access the server, but any other workloads that you decide to run on your new server will follow the standard Windows CAL licensing requirements."
"Q25. If I have an HPC edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Windows HPC Server 2008 R2 Suite, you will receive a license grant for Windows Server 2012 Standard edition. For each Windows HPC Server 2008 R2 Suite (which includes both a Windows Server 2008 R2 HPC edition license and Microsoft HPC Pack 2008 R2 Enterprise software) you will receive one Windows Server 2012 Standard edition license.
If you have Software Assurance on Windows Server 2008 R2 HPC edition or Microsoft HPC Pack 2008 R2 Enterprise, you will receive an additional Windows Server 2012 Standard edition that you can use while
also maintaining your rights to run your current HPC licenses. You will receive one Windows Server 2012 Standard edition license for every two Windows Server 2008 R2 HPC edition license or Microsoft HPC Pack 2008 R2 Enterprise licenses you have. If you have an odd number of Windows Server 2008 R2 HPC edition or Microsoft HPC Pack 2008 R2 Enterprise licenses, your grant will be based on rounding up to the next whole number.
You will continue to have the ability to run HPC workloads on your new Windows Server 2012 Standard edition license without needing a Windows Server CAL to access the server, but any other workloads that you decide to run on your new server will follow the standard Windows CAL licensing requirements."
Q26. What are my Software Assurance migration rights by Microsoft purchase program?,"Answer: Each Microsoft purchase program has different rules for your Software Assurance migration entitlement at the end of your enrollment. See the chart below.

The information outlines the Software Assurance benefits for various licensing programs at the time of the Windows Server 2012 release. 

Under the Enterprise Agreement, perpetual rights to the Windows Server 2012 edition are granted. The Enterprise Agreement Subscription allows usage of the Windows Server 2012 edition during enrollment, with options to buy out the original Windows Server 2008 R2 product at the original CPS price, or the new Windows Server 2012 product at the buy-out price on the published price list. Renewal at the new Windows Server 2012 annual subscription price is also possible.

For Enrollment for Education Solutions – School Enrollment, similar terms apply, with the ability to use the Windows Server 2012 edition during enrollment and options to buy out the original or new product at specified prices, or renew at the annual subscription price.

The Open Value program provides perpetual rights to the Windows Server 2012 edition. The Open Value Subscription offers usage during enrollment with buy-out options for the original or new product, or renewal at the annual subscription price.

Lastly, the Open Value Subscription – Education Solutions mirrors the terms of the Open Value Subscription, allowing use during enrollment and similar buy-out or renewal options.

Under the Select/Open program, participants are granted perpetual rights to the current edition of Windows Server 2012. This means that once the software is acquired, users can continue to use it indefinitely without the need for renewal or additional subscription fees. This assurance provides long-term access and stability for users who choose this program, ensuring they have ongoing rights to the specified software version.
Note: The Enrollment for Core Infrastructure (ECI) follows the same rules as stated for the Enterprise Agreement in the chart above."
Q27. How much will Windows Server 2012 Standard and Datacenter editions cost?,"Answer: For your specific pricing, contact your Microsoft reseller. Actual prices may vary. Microsoft does not determine pricing or payment terms for licenses acquired through resellers.

The information provided outlines the estimated retail prices for two different editions under a volume licensing agreement with no specific level. The Datacenter edition is priced at $4,809, indicating a higher cost likely due to more advanced features or capabilities. In contrast, the Standard edition is available for $882, suggesting it offers a more basic set of features suitable for less demanding environments. These prices reflect the cost for organizations looking to purchase licenses in bulk without any additional discounts or levels applied."
Q28. Can I use my Windows Server 2008 CAL to access Windows Server 2012?,Answer: No. The CAL accessing the instance of Windows Server must be equivalent or higher in version than the server being accessed. You will need a Windows Server 2012 CAL to access a Windows Server 2012 instance.
Q29. Do I still need a separate CAL to access Remote Desktop Services (RDS) and Active Directory Rights Management Service (ADRMS)?,Answer: Yes. The licensing requirements for Remote Desktop Services (RDS) and Active Directory Rights Management Service (ADRMS) have not changed with Windows Server 2012. Customers are still required to purchase an ADRMS or RDS CAL in addition to a Windows Server CAL to access ADRMS or RDS functionality. The CAL accessing the instance of Windows Server must be equivalent or higher in version than the server being accessed.
"Q30. What is the price of running Windows Server 2012 on Windows Azure under ""preview"" and ""general availability""?",Answer: Windows Server 2012 and Windows Server 2008 R2 will continue to be available on Azure at the same price.
Q31. Can I move Windows Server 2012 licenses and images between Hyper-V and Azure?,"Answer: Windows Server 2012 licenses just like Windows Server 2008 R2 are not eligible for the license mobility benefits under Software Assurance. You can continue to take advantage of the license mobility rights for other server applications, however Windows Server will continue to be purchased separately from the service provider or Azure."
Q32. What are the System Center license requirements for managing Windows Server 2012 instances running on Azure?,Answer: You can use the License Mobility benefits under Software Assurance to assign your System Center 2012 license to a Windows Server instance running on Azure.
Q33. How do I license Windows Server 2012 on ECI to run some instances on Azure?,Answer: You are not able to run your ECI Windows Server license in Azure because Windows Server does not offer mobility right as a standalone license or as a component product within the Core Infrastructure Suite product purchased under an ECI enrollment or outside of ECI.
Q34. What are my licensing options for a Disaster Recovery server?,"Answer: If you are storing virtual machines for future use in a Disaster Recovery situation you will not need additional licensing for that server. Only when you run an instance on that server will a license be required (see the definition of running an instance below). You should be mindful that any of your replicated virtual instances, when running, need to be running on a server appropriately licensed to support that running instance.
Running Instance means an Instance of software that is loaded into memory and for which one or more instructions have been executed. (You ""Run an Instance"" of software by loading it into memory and executing one or more of its instructions.) Once running, an Instance is considered to be running (whether or not its instructions continue to execute) until it is removed from memory.
There are two ways in which you can license a server for Disaster Recovery, by purchasing a Windows Server license or by using the Cold Back-up for Disaster Recovery Software Assurance benefit. Cold Back-up for Disaster Recovery allows you to keep a backup server ready for use in case your primary (production) server fails due to earthquakes, floods or any kind of disaster. If a disaster strikes you can immediately switch over to the Cold Disaster Recovery server. In order to utilize this benefit you must comply with the follow terms:
· The software in the Disaster Recovery server should comply with the use rights associated with the software. · The server cannot be in the same cluster as the production server. · The server cannot be turned on except for updates to the software (patching) or testing. The server may of course be turned on in the event of a disaster for Disaster Recovery. · The Disaster Recovery server and the production instances may run concurrently while recovering from a disaster. At all other times the Disaster Recovery server should be switched off except as above
Remember that in order to utilize this Software Assurance benefit, all licenses in use must have active Software Assurance coverage. This includes any CALs required to access the Disaster Recovery server. This benefit ends when Software Assurance coverage on your licenses ends. You can find more information about the use rights for this benefit in the Product Use Rights document."
Q35. When will the Windows Server 2012 Licensing changes take place?,"Answer: Licensing changes will become effective at the general availability of Windows Server 2012, which is expected to be in September 2012."
Q36. What support is available for an older version of Windows Server?,Answer: See the Windows Server Support Lifecycle website for details.
Q37. What is Windows Server 2012 Essentials?,Answer: Windows Server 2012 Essentials is the latest version of Windows Small Business Server Essentials. It is a cloud enabled first server with an intuitive user interface. It can run on physical servers with up to two processors and has been designed for small businesses with up to 25 users.
Q38. What are some of the features that are now available in Windows Server 2012 Essentials?,"Answer: Windows Server 2012 Essentials incorporates best-of-breed 64-bit product technologies to deliver a server environment well-suited for the vast majority of small businesses. The product technologies include:
· Windows Server 2012 operating system · Data protection · ""Anywhere"" access · Health monitoring · Workload flexibility · Extensibility · Add-ons for many small business solutions, including a connector to Office 365
Customers can use Windows Server 2012 Essentials as a platform to run critical line-of-business applications and other on-premises workloads. It can also provide an integrated management experience when running cloud-based applications and services, such as email, collaboration, online backup, and more."
Q39. What are the different editions available with Windows Server 2012 Essentials?,Answer: There is only one edition-Windows Server 2012 Essentials. It is a flexible offering that provides a platform for running on-premises or cloud-based workloads.
Q40. Will there be a next version of Windows Small Business Server 2011 Standard?,"Answer: No. Windows Small Business Server 2011 Standard, which includes Exchange Server and Windows server component products, will be the final such Windows Server offering. This change is in response to
small business market trends and behavior. The small business computing trends are moving in the direction of cloud computing for applications and services such as email, online back-up and line-of- business tools."
Q41. Will there be a next version of Windows Small Business 2011 Premium Add-on?,"Answer: No. Windows Small Business Server 2011 Premium Add-on, which includes SQL Server and Windows Server as component products, will be the final such Windows Server offering."
"Q42. If I have Windows Small Business Server 2011 Essentials with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Small Business Server 2011 Essentials, you will receive one Windows Server 2012 Essentials license.
This grant will be reflected upon your agreement renewal; however you are entitled to use the granted product upon availability."
"Q43. If I have Windows Small Business Server 2011 Standard edition with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Small Business Server 2011 Standard edition, you will receive two Windows Server 2012 Standard edition license and one Exchange Server Standard 2010 license.
This grant will be reflected upon your agreement renewal; however you are entitled to use the granted product upon availability."
"Q44. If I have Windows Small Business Server 2011 Standard CAL with Software Assurance when Windows Server 2012 is released, what will I be entitled to receive?","Answer: If you have Software Assurance on Small Business Server 2011 Standard CAL, you will receive one Windows Server 2012 CAL license and one Exchange Server CAL license.
This grant will be reflected upon your agreement renewal; however you are entitled to use the granted product upon availability."
"Q45. If I have Windows Small Business Server 2011 Premium Add-on with Software Assurance when Windows Server 2012 is released, which edition will I be entitled to receive?","Answer: If you have Software Assurance on Small Business Server 2011 Premium Add-on edition, you will receive one Windows Server 2012 Standard edition license and one SQL Server 2012 Standard edition license.
This grant will be reflected upon your agreement renewal; however you are entitled to use the granted product upon its availability."
"Q46. If I have Windows Small Business Server 2011 Premium Add-on CAL with Software Assurance when Windows Server 2012 is released, what will I be entitled to receive?","Answer: If you have Software Assurance on Small Business Server 2011 Premium Add-on CAL, you will receive one SQL Server 2012 CAL license and one Windows Server 2012 CAL license. This grant will be reflected upon your agreement renewal; however you are entitled to use the granted product upon its availability."
Q47. How much will Windows Server Essentials cost?,"Answer: For your specific pricing, contact your Microsoft reseller. Actual prices may vary. Microsoft does not determine pricing or payment terms for licenses acquired through resellers.

The information outlines the pricing details for two software editions under a specific licensing model. The Essentials edition is available for purchase at an estimated retail price of $501 through Volume Licensing Open with no specific level. In contrast, the Foundation edition is not available for direct purchase through this licensing model and is only obtainable via Original Equipment Manufacturer (OEM) channels. This indicates that the Essentials edition is more accessible for direct purchase, while the Foundation edition requires acquisition through hardware vendors."
Q48. Are there any licensing changes happening to the Foundation edition as part of Windows Server 2012?,"Answer: There are no changes to the Foundation edition licensing or pricing model. To see the full list of features and licensing, go to the Foundation Server 2012 website."
